compound,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,approval_year,isomeric,canonical,inchikey,cid,status,Edward Score V20,Rationale V20,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob,P1 Rationale,P2 Prob,P2 Rationale,P3 Prob,P3 Rationale,TCSP V20,metabolic_sites,year_clean
BMS 488043,HIV-1 attachment inhibitor,HIV-1 gp120 protein,HIV infection,Phase 1,,2005,Discontinued primarily due to poor bioavailability and suboptimal pharmacokinetics,clinical_failure,Infectious Disease,pk_adme,poor_bioavailability_suboptimal_pk,Discontinued for PK/ADME,,COC1=CN=C(C2=C1C(=CN2)C(=O)C(=O)N3CCN(CC3)C(=O)C4=CC=CC=C4)OC,COC1=CN=C(C2=C1C(=CN2)C(=O)C(=O)N3CCN(CC3)C(=O)C4=CC=CC=C4)OC,DBPMWRYLTBNCCE-UHFFFAOYSA-N,507806,OK,45,"A mixed bag. The 7-azaindole core is an elite scaffold—mimicking purines with better solubility. However, the alpha-ketoamide linker is a 'necessary evil' often seen in viral attachment/protease inhibitors. It introduces a reactive electrophilic center (reversible covalent?) which can lead to hydration, reduction, or racemization. While acceptable for life-threatening ID indications, it carries a 'Reactivity Tax'. Solubility might be limited by the planar stacking of the azaindole and benzoyl systems.",Medium,Alpha-ketoamide (Electrophile/Reductive liability),0.7,"Generally manageable safety, assuming ketoamide is stable.",0.35,PK variability due to metabolism of the dicarbonyl.,0.15,Commercial viability depends on dosing frequency.,0.036,,2005.0
DPC-083,NNRTI,HIV-1 Reverse Transcriptase (Non-nucleoside),HIV infection,Phase 2,,2005,Program discontinued; PK/formulation constraints reported for related series (low solubility / absorption sensitivity),clinical_failure,Infectious Disease,pk_adme,pk_formulation_liability,Discontinued for formulation/PK liability,,C1CC1/C=C/[C@]2(C3=C(C=CC(=C3)Cl)NC(=O)N2)C(F)(F)F,C1CC1C=CC2(C3=C(C=CC(=C3)Cl)NC(=O)N2)C(F)(F)F,UXDWYQAXEGVSPS-GFUIURDCSA-N,5327770,OK,68,"This molecule is heavily taxed by 'Grease'. The combination of a trifluoromethyl group, a chlorobenzene, and a cyclopropyl moiety pushes cLogP into the danger zone (>5), triggering the 'Rule of Two' for DILI risk. Furthermore, the vinyl-cyclopropane motif is chemically anxious—prone to radical rearrangement or P450 suicide inhibition compared to its alkyne cousins. While the benzoxazinone core is stable, the lipophilicity suggests this is a 'crystallization in the liver' waiting to happen.",High,"Vinyl-cyclopropane (Radical clock/P450 inactivation), High Lipophilicity (DILI)",0.6,Dose-limiting toxicity likely due to lipophilicity/solubility.,0.25,High protein binding will limit free fraction.,0.1,Safety signals (liver enzyme elevation) likely in chronic dosing.,0.015,,2005.0
Enalkiren,Direct renin inhibitor,Renin,Hypertension,Phase 2,,2000,Poor absorption and very low oral bioavailability (<2%); short half-life limited chronic oral development,clinical_failure,Cardiovascular,pk_adme,low_oral_bioavailability_short_half_life,Discontinued for PK/ADME,,CC(C)C[C@@H]([C@@H]([C@H](CC1CCCCC1)NC(=O)[C@H](CC2=CN=CN2)NC(=O)[C@H](CC3=CC=C(C=C3)OC)NC(=O)CC(C)(C)N)O)O,CC(C)CCH(CH(CH(CC1CCCCC1)NC(=O)CH(CC2=CN=CN2)NC(=O)CH(CC3=CC=C(C=C3)OC)NC(=O)CC(C)(C)N)O)O,KQXVERRYBYGQJZ-WRPDIKACSA-N,60594,OK,78,"This molecule is a classic 'Brick' (MW > 600, High TPSA). It exhibits the hallmarks of a peptidomimetic transition-state inhibitor (hydroxyethylene isostere). While likely potent against an aspartyl protease, the physicochemical properties are abysmal for an oral drug. The presence of an imidazole ring (histidine mimic) introduces a significant CYP inhibition liability (Type II binding) and potential for promiscuity. The high rotatable bond count ('The Balloon') ensures a massive entropic penalty upon binding and poor membrane permeability. Oral bioavailability is predicted to be < 5%. Tox Summary: Clean fragments, but PK failure is imminent.",Low,"Imidazole (CYP Inhibition), Primary Amine (conjugation)",0.4,"Safety likely acceptable due to low absorption, but PK variability will be high.",0.15,Efficacy will be limited by inability to achieve therapeutic exposure orally.,0.05,Commercial viability is near zero for a 'Brick' in the CV space.,0.03,,2000.0
Zankiren,Direct renin inhibitor,Renin,Hypertension,Phase 2,,2013,Poor bioavailability / very short half-life cited as key limitation for development,clinical_failure,Cardiovascular,pk_adme,poor_bioavailability_short_half_life,Discontinued for PK/ADME,,CC(C)C[C@@H]([C@@H]([C@H](CC1CCCCC1)NC(=O)[C@H](CC2=CSC=N2)NC(=O)[C@H](CC3=CC=CC=C3)CS(=O)(=O)N4CCN(CC4)C)O)O,CC(C)CCH(CH(CH(CC1CCCCC1)NC(=O)CH(CC2=CSC=N2)NC(=O)CH(CC3=CC=CC=C3)CS(=O)(=O)N4CCN(CC4)C)O)O,YFDSDRDMDDGDFC-HOQQKOLYSA-N,3086652,OK,82,"This structure attempts to fix the imidazole liability by swapping it for a thiazole (less basic, less CYP binding), but then commits a fatal error by appending a massive sulfonamide-piperazine tail. The resulting Molecular Weight is exorbitant. This is not a drug; it is a chemical probe. The complexity and 'Balloon' nature (rotatable bonds > 15) guarantee poor oral absorption and high clearance. The sulfonamide moiety also introduces a risk of hypersensitivity (SJS/TEN). Tox Summary: Not Clean (Sulfonamide alert).",Low,"Sulfonamide (Hypersensitivity), Piperazine (Bioactivation risk if N-dealkylated)",0.3,Complex metabolism and potential for idiosyncratic tox (sulfonamide).,0.1,PK will be erratic; likely IV only.,0.01,Unviable.,0.003,,2013.0
Terlakiren,Direct renin inhibitor,Renin,Hypertension,Phase 2,,2011,Early renin inhibitor with development hindered by absorption/bioavailability constraints (class-linked),clinical_failure,Cardiovascular,pk_adme,class_low_oral_exposure,Discontinued for PK/ADME,,CC(C)OC(=O)[C@@H]([C@H](CC1CCCCC1)NC(=O)[C@H](CSC)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)N3CCOCC3)O,CC(C)OC(=O)CH(CH(CC1CCCCC1)NC(=O)CH(CSC)NC(=O)CH(CC2=CC=CC=C2)NC(=O)N3CCOCC3)O,UZQBKCWYZBHBOW-YIPNQBBMSA-N,64922,OK,88,"A structural disaster. This peptidomimetic incorporates a Methionine side chain (thioether), which is a 'soft spot' for oxidation to sulfoxide/sulfone, creating a moving target in PK studies. Furthermore, the molecule contains an ester linkage (or is an ester prodrug), which will be rapidly hydrolyzed by esterases in the gut/liver, likely destroying activity or creating a distinct parent with different properties. The morpholine urea is acceptable, but the combination of Met + Ester + Peptide Backbone = Development Hell. Tox Summary: Not Clean (Metabolic liabilities).",Low,"Thioether (Oxidation), Ester (Hydrolysis), Peptide bonds",0.2,Rapid clearance and multiple metabolites will complicate safety assessment.,0.05,PK/PD disconnect guaranteed.,0.0,Unviable.,0.0,,2011.0
DPC-961,NNRTI,HIV-1 Reverse Transcriptase,HIV infection,Phase 1/2,,2003,Low solubility; oral absorption sensitive to formulation/food effects (development-limiting PK/biopharm),clinical_failure,Infectious Disease,pk_adme,low_solubility_biopharm_pk_risk,Discontinued for PK/ADME,,C1CC1C#C[C@]2(C3=C(C=CC(=C3)Cl)NC(=O)N2)C(F)(F)F,C1CC1C#CC2(C3=C(C=CC(=C3)Cl)NC(=O)N2)C(F)(F)F,JJWJSIAJLBEMEN-ZDUSSCGKSA-N,474120,OK,72,"Physicochemically, this molecule is a paradox. It possesses elite Lipophilic Efficiency (LipE) and a compact 'Goldilocks' size (MW < 350), suggesting excellent tissue distribution and CNS penetration. However, the presence of the cyclopropyl-acetylene moiety triggers a mandatory 'Hard Kill' alert for Mechanism-Based Inhibition (MBI) of Cytochrome P450s. Acetylenes are notorious suicide inhibitors, creating reactive intermediates that covalently bind to heme. Despite the attractive potency profile, the DDI (Drug-Drug Interaction) liability and potential for hepatotoxicity via bioactivation cap the score severely. Tox Summary: Not Clean (MBI Alert).",Medium,"Acetylene (P450 Suicide Inhibition), Cyclopropyl (Ring opening potential)",0.4,High risk of MBI/DDI flagging in early safety studies.,0.6,High potency and exposure likely drive efficacy if safety is managed.,0.2,"Chronic dosing risks (CNS effects, DDI) threaten commercial viability.",0.048,,2003.0
DPC-963,NNRTI,HIV-1 Reverse Transcriptase,HIV infection,Phase 1/2,,2000,Development discontinued; biotransformation/clearance and reactive metabolite concerns reported in metabolism studies,clinical_failure,Infectious Disease,pk_adme,metabolism_clearance_liability,Discontinued for PK/ADME,,C1CC1C#C[C@]2(C3=C(C=CC(=C3F)F)NC(=O)N2)C(F)(F)F,C1CC1C#CC2(C3=C(C=CC(=C3F)F)NC(=O)N2)C(F)(F)F,QCNJQJJFXFJVCX-ZDUSSCGKSA-N,474121,OK,74,"This analog retains the critical MBI liability (acetylene) of the previous entry while modifying the aromatic substitution to a difluoro-motif. While fluorine substitution is generally favorable for blocking metabolic soft spots, in this context, it does not mitigate the primary structural alert (the alkyne). The physicochemical profile remains efficient, but the 'Hard Kill' penalty for suicide inhibition potential stands. The electronic changes on the ring may slightly alter the pKa of the cyclic urea, potentially impacting solubility, but the safety profile is the dominant concern. Tox Summary: Not Clean (MBI Alert).",Medium,"Acetylene (P450 Suicide Inhibition), Difluorophenyl (potential quinone methide if defluorinated - unlikely but possible)",0.4,MBI liability remains the primary gatekeeper.,0.55,"Similar efficacy potential to the chloro-analog, pending specific binding vectors.",0.2,Long-term safety concerns persist.,0.044,,2000.0
Capravirine,NNRTI,HIV-1 Reverse Transcriptase,HIV infection,Phase 2,,2005,Development discontinued; complicated drug-drug interactions (PK/DDI constraints) made regimen integration difficult,clinical_failure,Infectious Disease,pk_adme,ddi_pk_liability,Discontinued for PK/ADME,,CC(C)C1=C(N(C(=N1)COC(=O)N)CC2=CC=NC=C2)SC3=CC(=CC(=C3)Cl)Cl,CC(C)C1=C(N(C(=N1)COC(=O)N)CC2=CC=NC=C2)SC3=CC(=CC(=C3)Cl)Cl,YQXCVAGCMNFUMQ-UHFFFAOYSA-N,1783,OK,55,"A significantly 'greasier' scaffold compared to the compact urea derivatives. The molecule approaches the MW 450 limit and contains a thioether linker, which is a classic metabolic soft spot prone to oxidation (sulfoxide/sulfone formation), complicating PK. The pyridine ring and isopropyl group add lipophilicity without necessarily improving efficiency. While it lacks the 'Hard Kill' acetylene, the overall developability is hampered by a higher metabolic burden and potential for hERG inhibition due to the combination of aromatic bulk and nitrogenous heterocycles. It feels like a 'Phase 1' molecule that will struggle with pill burden. Tox Summary: Clean-ish (Metabolic liabilities).",Low,"Thioether (Oxidation liability), Pyridine (Reactive metabolite risk)",0.6,"Reasonable safety profile, though PK variability is a risk.",0.4,"Efficacy likely good, but high dose/pill burden may limit utility.",0.3,Competitive disadvantage due to dosing frequency/metabolism.,0.072,,2005.0
alovudine,Nucleoside analog,Viral DNA polymerase,HIV infection,Phase 2,,2005,Dose-limiting toxicity (reported hematologic/bone marrow suppression),clinical_failure,Infectious,tox_safety,hematologic_toxicity,Discontinued for safety,,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)F,CC1=CN(C(=O)NC1=O)CH2CCH(CH(O2)CO)F,UXCAQJAQSWSNPQ-XLPZGREQSA-N,33039,OK,68,"A classic nucleoside analog structure. While it passes Rule of 5 checks with flying colors (high solubility, low MW), the specific substitution pattern (3'-fluoro-3'-deoxy) on the sugar ring carries a heavy 'Class Tax'. This motif is historically associated with mitochondrial toxicity via inhibition of DNA polymerase gamma, leading to lactic acidosis and lipodystrophy. While not a chemical 'Hard Kill' in the reactive sense, it is a biological 'Hard Kill' for chronic safety. Developability is high, but the safety ceiling is extremely low. Tox Summary: Not Clean (Mitochondrial Tox).",High,"3'-Fluoro-nucleoside (Mitochondrial Toxicity), Michael Acceptor (Thymine ring - low risk)",0.5,"Acute safety likely fine, but sub-chronic tox markers may elevate.",0.5,Target engagement is standard for the class.,0.1,Severe attrition risk due to chronic mitochondrial toxicity.,0.025,,2005.0
aplaviroc hydrochloride,CCR5 antagonist,C-C chemokine receptor type 5 (CCR5),HIV infection,Phase 2,,2006,Hepatotoxicity (liver injury signals),clinical_failure,Infectious,tox_safety,hepatotoxicity,Discontinued for safety,,CCCCN1C(=O)[C@H](NC(=O)C12CCN(CC2)CC3=CC=C(C=C3)OC4=CC=C(C=C4)C(=O)O)[C@@H](C5CCCCC5)O.Cl,CCCCN1C(=O)CH(NC(=O)C12CCN(CC2)CC3=CC=C(C=C3)OC4=CC=C(C=C4)C(=O)O)CH(C5CCCCC5)O.Cl,QNNBMSGFNQRUEH-PQQSRXGVSA-N,6918686,OK,88,"This molecule is a 'Brick' and a 'Balloon'. With a high MW (>550), high rotatable bond count, and significant lipophilicity, it violates the fundamental tenets of efficient drug design. It relies on the 'Grease Tax'—using lipophilicity to drive affinity—which invariably leads to poor oral bioavailability, high clearance, and a massive DILI risk (Rule of Two: High LogP + High Dose). The presence of a carboxylic acid attempts to mitigate the lipophilicity, but likely creates a zwitterionic clearance nightmare (biliary vs renal). This is a difficult molecule to develop with a low probability of technical success. Tox Summary: Not Clean (DILI Risk).",Low,"Diphenyl ether (Lipophilicity), Complex aliphatic amine (Phospholipidosis risk)",0.3,PK failure likely. DILI markers may rise.,0.3,Poor exposure will hamper efficacy demonstration.,0.1,Commercial failure due to dose size and liver safety monitoring.,0.009,,2006.0
asoprisnil,Selective progesterone receptor modulator (SPRM),Progesterone Receptor (selective modulation),Uterine fibroids; endometriosis (studied),Phase 3,,2009,Endometrial changes (PAEC) raised safety/regulatory concerns,clinical_failure,Reproductive,tox_safety,endometrial_safety,Discontinued for safety,,C[C@]12C[C@@H](C3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@]2(COC)OC)C5=CC=C(C=C5)/C=N/O,CC12CCH(C3=C4CCC(=O)C=C4CCCH3CH1CCC2(COC)OC)C5=CC=C(C=C5)C=NO,GJMNAFGEUJBOCE-MEQIQULJSA-N,9577221,OK,38,"The scaffold is a classic steroid framework, which guarantees high affinity but carries the 'Steroid Tax' of complex synthesis and potential DILI due to high lipophilicity. The inclusion of a benzaldoxime moiety (/C=N/O) is the critical feature here. While oximes can improve metabolic stability relative to ketones, they introduce risks of hydrolysis to the aldehyde (reactive) or reduction to the amine. The C17-methoxy/methoxymethyl substitution is a smart medicinal chemistry move to block metabolism at the typical steroid soft spot (C17-oxidation), improving oral bioavailability. However, the molecule remains a lipophilic entity with significant complexity. The balance of potency vs. developability is favorable, provided the oxime is Ames negative.",Medium,"Benzaldoxime (Hydrolysis risk), Steroid core (DILI potential)",0.75,Steroids generally pass P1 if DILI is monitored. Oxime genotoxicity is the main hurdle.,0.45,"Efficacy in reproductive indications is usually high for this class, but safety (endometrial effects) is the differentiator.",0.2,Chronic safety profile of the oxime metabolite will be the deciding factor.,0.65,,2009.0
AZD-4017,11b-HSD1 inhibitor,11beta-hydroxysteroid dehydrogenase type 1,Metabolic disease (studied),Phase 2,,2021,Efficacy issues,clinical_failure,Metabolic,efficacy,efficacy_failure,Discontinued for lack of efficacy,,CCCSC1=C(C=CC(=N1)N2CCC[C@H](C2)CC(=O)O)C(=O)NC3CCCCC3,CCCSC1=C(C=CC(=N1)N2CCCCH(C2)CC(=O)O)C(=O)NC3CCCCC3,NCDZABJPWMBMIQ-INIZCTEOSA-N,24946280,OK,58,"This molecule suffers from 'Medicinal Chemistry Grease'. The propylthio ether (CCCSC-) is a metabolic liability; alkyl sulfides are rapidly oxidized to sulfoxides/sulfones and can be odorous/reactive. The core is a pyridine substituted with a lipophilic cyclohexyl amide and a piperidine-acid tail. The carboxylic acid likely restricts CNS penetration (desirable for metabolic targets) and aids solubility, but it introduces the risk of acyl glucuronidation, a known mechanism for idiosyncratic drug toxicity (DILI). The combination of a thioether and a potential acyl glucuronide warhead creates a 'Rule of Two' violation for metabolic toxicity risks. LipE appears suboptimal due to the reliance on aliphatic grease (cyclohexyl, propyl) for binding.",Low,"Alkyl sulfide (S-oxidation), Carboxylic acid (Acyl glucuronide formation)",0.6,Metabolic instability of the thioether may lead to variable PK. DILI markers will be watched closely.,0.25,11b-HSD1 is a notoriously difficult target class with a history of efficacy failures.,0.1,Safety margins will likely be eroded by the need for high doses to overcome metabolic clearance.,0.35,,2021.0
AZD-4901,NK3 receptor (TACR3) antagonist,Neurokinin 3 (NK3) receptor,Menopausal vasomotor symptoms (hot flushes),Phase 2,,2017,transient elevations of liver transaminase enzymes,clinical_failure,Endocrine,tox_safety,liver_toxicity,Discontinued for safety,,CC[C@@H](C1=CC=CC=C1)NC(=O)C2=C(C(=NC3=CC=CC=C32)C4=CC=CC=C4)NS(=O)(=O)C,CCCH(C1=CC=CC=C1)NC(=O)C2=C(C(=NC3=CC=CC=C32)C4=CC=CC=C4)NS(=O)(=O)C,QYTBBBAHNIWFOD-NRFANRHFSA-N,23649245,OK,68,"A classic 'Aromatic Brick'. The structure contains three aromatic rings (quinoline + 2 phenyls) and a sulfonamide, pushing the molecular weight and lipophilicity into the danger zone (cLogP likely > 5). This profile screams 'Solubility Limited Absorption' and high plasma protein binding. The 2-phenylquinoline core is a known structural alert for CYP inhibition and induction (via PXR/CAR activation). While the chiral benzyl-ethyl amine adds some 3D character, the overall flatness of the molecule suggests poor physicochemical properties. High lipophilicity combined with the sulfonamide moiety also raises a flag for hERG inhibition. This molecule looks like a potent binder that will fail due to poor ADME properties.",Medium,"2-Phenylquinoline (CYP interaction), High Aromatic Ring Count (Solubility/hERG)",0.5,PK variability due to solubility limits and potential CYP interactions.,0.2,High attrition risk due to poor exposure-response relationship or liver enzyme elevations.,0.05,Unlikely to survive chronic dosing scrutiny.,0.25,,2017.0
balapiravir,HCV nucleoside prodrug (NS5B polymerase inhibitor class),HCV NS5B RNA-dependent RNA polymerase,Hepatitis C,Phase 2,,2011,Lymphopenia / hematologic toxicity reported in trials,clinical_failure,Infectious,tox_safety,hematologic_toxicity,Discontinued for safety,,CC(C)C(=O)OC[C@@]1([C@H]([C@H]([C@@H](O1)N2C=CC(=NC2=O)N)OC(=O)C(C)C)OC(=O)C(C)C)N=[N+]=[N-],CC(C)C(=O)OCC1(CH(CH(CH(O1)N2C=CC(=NC2=O)N)OC(=O)C(C)C)OC(=O)C(C)C)N=N+=N-,VKXWOLCNTHXCLF-DXEZIKHYSA-N,11691726,OK,82,"HARD KILL ALERT. This is a nucleoside prodrug containing a 4'-azido group (N=[N+]=[N-]). While azides have been used in historic antivirals (e.g., AZT), in a modern NCE context, they are a massive liability. Azides are potential explosion hazards in manufacturing, potential mutagens (Ames positive), and metabolically release toxic species. Furthermore, nucleoside analogs with modifications at the 4' position carry a high risk of mitochondrial DNA polymerase inhibition, leading to lactic acidosis and steatosis. The tri-isobutyryl ester prodrug strategy adds MW and complexity, requiring efficient hepatic activation. The safety hurdle for an azide-containing nucleoside in a non-life-threatening chronic indication is nearly insurmountable today.",Low,"Azide (Genotox/Explosive), Nucleoside analog (Mitochondrial Tox)",0.3,High risk of stopping due to pre-clinical tox signals (mitochondria) or genotoxicity.,0.1,"Efficacy is likely, but safety signals will dominate.",0.01,Commercial viability is near zero with an azide moiety.,0.15,,2011.0
BIA 10-2474,FAAH inhibitor,Fatty Acid Amide Hydrolase (FAAH) (Irreversible inhibitor),Pain (first-in-human study),Phase 1,,2016,Severe neurotoxicity in healthy volunteers (BIA 10-2474 incident),clinical_failure,CNS,tox_safety,severe_neurotoxicity,Discontinued for safety,,CN(C1CCCCC1)C(=O)N2C=C(N=C2)C3=C[N+](=CC=C3)[O-],CN(C1CCCCC1)C(=O)N2C=C(N=C2)C3=CN+(=CC=C3)O-,DOWVMJFBDGWVML-UHFFFAOYSA-N,46831476,OK,45,"This molecule exhibits excellent CNS physicochemical properties (Low MW, moderate LogP, low TPSA). The scaffold is a urea-based covalent inhibitor, likely targeting a serine hydrolase. The critical feature is the Pyridine N-Oxide. While N-oxides can improve solubility and lower LogP compared to their parent pyridines, they are metabolic soft spots susceptible to reduction back to the pyridine, creating a 'metabolic futile cycle' that complicates PK. The urea warhead implies a covalent mechanism; selectivity against the broader proteome is the primary safety risk (off-target carbamylation). However, the 'Small & Efficient' nature of the molecule gives it high developability credit, provided the N-oxide is stable enough in vivo.",Medium,"Urea (Covalent warhead/Selectivity), Pyridine N-Oxide (Reduction risk)",0.7,"Clean CNS properties suggest good PK, provided the covalent mechanism doesn't cause acute tox.",0.35,Target engagement in the brain is the hurdle. N-oxide reduction might limit brain exposure.,0.15,Chronic safety of covalent CNS drugs is always scrutinized heavily.,0.55,,2016.0
