compound,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,approval_year,isomeric,canonical,inchikey,cid,status,Edward Score V20,Rationale V20,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob,P1 Rationale,P2 Prob,P2 Rationale,P3 Prob,P3 Rationale,TCSP V20,metabolic_sites
Telcagepant,CGRP receptor antagonist,Calcitonin gene-related peptide (CGRP) receptor,Acute migraine,Phase 3,,2011,Liver enzyme elevations / DILI concern � development discontinued,clinical_failure,CNS,tox_safety,hepatotoxicity,Discontinued for safety/tox,,C1C[C@H](C(=O)N(C[C@@H]1C2=C(C(=CC=C2)F)F)CC(F)(F)F)NC(=O)N3CCC(CC3)N4C5=C(NC4=O)N=CC=C5,C1CCH(C(=O)N(CCH1C2=C(C(=CC=C2)F)F)CC(F)(F)F)NC(=O)N3CCC(CC3)N4C5=C(NC4=O)N=CC=C5,CGDZXLJGHVKVIE-DNVCBOLYSA-N,11319053,OK,28,"This molecule represents a sophisticated effort to balance potency and physicochemical properties in a difficult target class (CGRP). The scaffold avoids the 'grease tax' by utilizing polar urea and amide linkers rather than lipophilic bulk. However, for a CNS indication, the physicochemical properties are borderline: MW is likely >500 and TPSA >100, pushing the limits of blood-brain barrier permeability without active transport. The absence of a highly basic center reduces hERG risk (a common pitfall in this space), but the high polar surface area suggests P-gp efflux liability. The trifluoroethyl and difluorophenyl moieties are metabolically robust. Overall, a high-quality molecule, but CNS penetration remains the primary development risk.",Medium,None identified,0.85,Clean structural alerts and lack of basic hERG pharmacophore suggest good safety profile.,0.45,Efficacy depends heavily on CNS exposure; high TPSA/MW may limit receptor occupancy in the brain.,0.25,Commercial viability is strong if CNS penetration is solved; safety profile appears clean for chronic use.,0.75,
Fialuridine,Nucleoside analog,Viral DNA polymerase (halted due to severe mitochondrial toxicity),Hepatitis B,Phase 2,,1993,Mitochondrial toxicity linked to metabolism,clinical_failure,Infectious Disease,pk_adme,metabolic_toxicity,Discontinued for PK/ADME,,C1=C(C(=O)NC(=O)N1[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)F)I,C1=C(C(=O)NC(=O)N1CH2CH(CH(CH(O2)CO)O)F)I,IPVFGAYTKQKGBM-BYPJNBLXSA-N,50313,OK,68,"While nucleoside analogs are proven antivirals, this structure carries a significant liability: the 5-Iodo substituent on the uracil base. The C-I bond is metabolically labile and prone to dehalogenation, potentially leading to systemic iodine toxicity and hypersensitivity reactions upon chronic dosing. Furthermore, iodinated nucleosides often exhibit higher mitochondrial toxicity (inhibition of DNA polymerase gamma) compared to their chloro or methyl analogs. The 2'-fluoro modification is a positive feature for glycosidic bond stability, but it does not offset the liability of the iodine atom in a systemic drug candidate. This molecule feels like a tool compound or a topical agent rather than a modern oral therapeutic.",Low,"5-Iodo-uracil (Dehalogenation risk), Nucleoside core (Mitochondrial tox risk)",0.6,Safety concerns regarding iodine release and mitochondrial toxicity reduce Phase 1 success probability.,0.3,"Efficacy is likely, but therapeutic index may be narrow due to off-target polymerase inhibition.",0.1,"Long-term safety (bone marrow suppression, neuropathy) often plagues this class.",0.4,
Posicor,Calcium channel blocker,T-type and L-type voltage-gated Ca2+ channels,Hypertension,Approved,,1998,CYP3A4 inhibition causing drug-drug interactions,market_withdrawal,Cardiovascular,pk_adme,differential_pk_interactions,Withdrawn / restricted for safety,,CC(C)[C@H]1C2=C(CC[C@@]1(CCN(C)CCCC3=NC4=CC=CC=C4N3)OC(=O)COC)C=C(C=C2)F.Cl.Cl,CC(C)CH1C2=C(CCC1(CCN(C)CCCC3=NC4=CC=CC=C4N3)OC(=O)COC)C=C(C=C2)F.Cl.Cl,MTJLQTFHJIHXIX-GDUXWEAWSA-N,60662,OK,95,"HARD KILL. This molecule contains a fatal structural flaw hidden in the ester side chain: the methoxyacetyl group (OC(=O)COC). In vivo hydrolysis of this ester will release Methoxyacetic Acid (MAA), a known testicular toxicant and teratogen. This is a non-negotiable safety hazard. Additionally, the molecule exhibits a classic hERG pharmacophore: a basic tertiary amine connected by a flexible linker to a lipophilic aromatic system (benzimidazole) and a bulky core. The combination of guaranteed metabolic toxicity (MAA release) and high hERG risk makes this a 'Dead on Arrival' candidate. No amount of potency can salvage the MAA liability.",Low,"Methoxyacetate ester (Releases Methoxyacetic Acid - Teratogen/Testicular Toxin), Basic amine-linker-aromatic (hERG)",0.1,High risk of failure due to hERG signals or preclinical reproductive toxicity findings.,0.05,"If it survives P1, the MAA metabolite will likely cause attrition due to DDI (CYP inhibition) or tox.",0.01,Unapprovable safety profile.,0.1,
Exubera,Inhaled Insulin,Insulin receptor (withdrawn for commercial/respiratory concerns),Diabetes,Approved,,2007,Poor formulation/commercial failure due to delivery system,market_withdrawal,Metabolic,cmc_formulation,formulation_liability,Discontinued for CMC / formulation,,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)CO)CC(C)C)CC3=CC=C(C=C3)O)CCC(=O)N)CC(C)C)CCC(=O)O)CC(=O)N)CC4=CC=C(C=C4)O)C(=O)N[C@@H](CC(=O)N)C(=O)O)C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC5=CC=CC=C5)C(=O)N[C@@H](CC6=CC=CC=C6)C(=O)N[C@@H](CC7=CC=C(C=C7)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N8CCC[C@H]8C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)O)C(C)C)CC(C)C)CC9=CC=C(C=C9)O)CC(C)C)C)CCC(=O)O)C(C)C)CC(C)C)CC2=CNC=N2)CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC2=CNC=N2)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC2=CC=CC=C2)N)C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CO)[C@@H](C)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H]([C@@H](C)CC)NC(=O)CN,CCCH(C)CH1C(=O)NCH2CSSCCH(C(=O)NCH(CSSCCH(C(=O)NCC(=O)NCH(C(=O)NCH(C(=O)NCH(C(=O)NCH(C(=O)NCH(C(=O)NCH(C(=O)NCH(C(=O)NCH(C(=O)NCH(C(=O)NCH(C(=O)NCH(CSSCCH(NC(=O)CH(NC(=O)CH(NC(=O)CH(NC(=O)CH(NC(=O)CH(NC(=O)CH(NC(=O)CH(NC(=O)CH(NC2=O)CO)CC(C)C)CC3=CC=C(C=C3)O)CCC(=O)N)CC(C)C)CCC(=O)O)CC(=O)N)CC4=CC=C(C=C4)O)C(=O)NCH(CC(=O)N)C(=O)O)C(=O)NCC(=O)NCH(CCC(=O)O)C(=O)NCH(CCCNC(=N)N)C(=O)NCC(=O)NCH(CC5=CC=CC=C5)C(=O)NCH(CC6=CC=CC=C6)C(=O)NCH(CC7=CC=C(C=C7)O)C(=O)NCH(CH(C)O)C(=O)N8CCCCH8C(=O)NCH(CCCCN)C(=O)NCH(CH(C)O)C(=O)O)C(C)C)CC(C)C)CC9=CC=C(C=C9)O)CC(C)C)C)CCC(=O)O)C(C)C)CC(C)C)CC2=CNC=N2)CO)NC(=O)CH(CC(C)C)NC(=O)CH(CC2=CNC=N2)NC(=O)CH(CCC(=O)N)NC(=O)CH(CC(=O)N)NC(=O)CH(C(C)C)NC(=O)CH(CC2=CC=CC=C2)N)C(=O)NCH(C(=O)NCH(C(=O)N1)CO)CH(C)O)NC(=O)CH(CCC(=O)N)NC(=O)CH(CCC(=O)O)NC(=O)CH(C(C)C)NC(=O)CH(CH(C)CC)NC(=O)CN,PBGKTOXHQIOBKM-FHFVDXKLSA-N,118984375,OK,92,"This is a biologic (peptide/protein), not a small molecule. As a Medicinal Chemist, evaluating this against Lipinski's rules results in a catastrophic failure: MW >> 500, TPSA >> 140, Rotatable Bonds >> 10. It has zero oral bioavailability and requires injection or specialized inhalation delivery. From a small molecule perspective, it is a 'Brick'—chemically complex, expensive to manufacture, and unstable to proteases. While it may be a valid therapeutic protein, it possesses none of the drug-like properties required for a small molecule optimization campaign. Tox Summary: Immunogenicity and formulation stability are the primary concerns, not traditional small molecule tox.",Low,"Disulfide bridges (Redox labile), Peptide bonds (Protease labile)",0.8,"As an endogenous analogue, safety is likely high, provided formulation doesn't trigger immunogenicity.",0.5,Efficacy is guaranteed if delivery works; the challenge is PK variability via inhalation.,0.3,"Commercial hurdles for inhaled insulin are historically massive (device, lung safety).",0.2,
BIBX1382,EGFR inhibitor,Epidermal Growth Factor Receptor (EGFR),Solid tumors (NSCLC),Phase 1,,2002,Poor oral bioavailability and rapid clearance (AO-mediated metabolism),clinical_failure,Oncology,pk_adme,low_exposure_high_clearance,Discontinued for PK/ADME,,,,FTFRZXFNZVCRSK-UHFFFAOYSA-N,6918508,OK,100,CRITICAL ERROR: No structure provided. Cannot evaluate 'nan'. A molecule with no atoms has zero potency and infinite developability issues.,Low,None,0.0,Non-existent.,0.0,Non-existent.,0.0,Non-existent.,0.0,
Carbazeran,PDE inhibitor,Phosphodiesterase (PDE) enzymes,Heart failure,Phase 2,,1990,Low oral bioavailability and short half-life in humans,clinical_failure,Cardiovascular,pk_adme,low_F_short_half_life,Discontinued for PK/ADME,,CCNC(=O)OC1CCN(CC1)C2=NN=CC3=CC(=C(C=C32)OC)OC,CCNC(=O)OC1CCN(CC1)C2=NN=CC3=CC(=C(C=C32)OC)OC,QJGVXJYGDBSPSJ-UHFFFAOYSA-N,71983,OK,28,"This is a competent, workmanlike structure. The phthalazine-piperidine scaffold provides a solid, rigid core with defined vectors. The ethyl carbamate is a sensible method to cap the secondary amine, modulating pKa and adding a hydrogen bond acceptor without the penalty of a donor. MW is in the Goldilocks zone (<400). LipE appears healthy. The primary risk is the electron-rich dimethoxy-phthalazine system serving as a metabolic sponge (O-dealkylation), but this is manageable. No structural alerts triggered. A solid P2 candidate.",Medium,None identified,0.85,"Clean structure, low likelihood of off-target ion channel binding.",0.45,Good physicochemical properties suggest adequate exposure.,0.2,Standard attrition risks apply.,0.0765,
Avoralstat,Plasma kallikrein inhibitor,Plasma Kallikrein,Hereditary angioedema,Phase 3,,2018,Poor PK with insufficient systemic exposure,late_stage_termination,Immunology,pk_adme,low_exposure_pk_failure,Discontinued for lack of efficacy,,COC1=CC(=C(C=C1C=C)C(=O)NC2=CC=C(C=C2)C(=N)N)C3=C(N=C(C=C3)C(=O)NCC4CC4)C(=O)O,COC1=CC(=C(C=C1C=C)C(=O)NC2=CC=C(C=C2)C(=N)N)C3=C(N=C(C=C3)C(=O)NCC4CC4)C(=O)O,TUWMKPVJGGWGNL-UHFFFAOYSA-N,86566678,OK,78,"A structural disaster for a chronic indication. You have combined a highly basic amidine (pKa ~11, permeability killer) with a reactive vinyl group (metabolic alert). The molecule is likely zwitterionic due to the carboxylic acid, guaranteeing poor oral bioavailability. The vinyl moiety attached to the aromatic ring is a 'soft spot' for epoxidation, raising genotoxicity concerns. This looks like a trypsin-trap probe, not a drug. The 'Grease Tax' is low, but the 'Permeability Tax' is fatal.",Low,"Vinyl group (Michael acceptor/Epoxide precursor), Amidine (cationic phospholipidosis risk)",0.4,Safety concerns with the vinyl group and potential hypotension from the amidine.,0.1,Oral bioavailability will likely be near zero.,0.05,Chronic dosing of a vinyl-containing molecule is a regulatory nightmare.,0.002,
Olcegepant,CGRP receptor antagonist,Calcitonin gene-related peptide (CGRP) receptor,Migraine,Phase 2,,2004,Low oral bioavailability limiting development,clinical_failure,Neurology,pk_adme,low_oral_bioavailability,Discontinued for PK/ADME,,C1CN(CCC1N2CC3=CC=CC=C3NC2=O)C(=O)N[C@H](CC4=CC(=C(C(=C4)Br)O)Br)C(=O)N[C@@H](CCCCN)C(=O)N5CCN(CC5)C6=CC=NC=C6,C1CN(CCC1N2CC3=CC=CC=C3NC2=O)C(=O)NCH(CC4=CC(=C(C(=C4)Br)O)Br)C(=O)NCH(CCCCN)C(=O)N5CCN(CC5)C6=CC=NC=C6,ITIXDWVDFFXNEG-JHOUSYSJSA-N,6918509,OK,92,"This is 'The Brick' personified. A peptidomimetic monster with a molecular weight that likely breaches 800 Da. The inclusion of a 3,5-dibromotyrosine motif is egregious for a CNS target—halogenated phenols are notorious for thyroid toxicity and uncoupling oxidative phosphorylation. TPSA is massive; brain penetration will be non-existent. This is a tool compound that should never see a human. Immediate 'Hard Kill' based on CNS MPO failure and toxicophore presence.",Low,"3,5-Dibromophenol (Thyroid tox/Uncoupler), Primary amine (Conjugation)",0.2,High risk of off-target tox (thyroid) and accumulation.,0.01,Zero chance of crossing the BBB to hit a neurology target.,0.01,Dead on arrival.,2e-05,
BMS 488043,HIV-1 attachment inhibitor,HIV-1 gp120 protein,HIV infection,Phase 1,,2005,Discontinued primarily due to poor bioavailability and suboptimal pharmacokinetics,clinical_failure,Infectious Disease,pk_adme,poor_bioavailability_suboptimal_pk,Discontinued for PK/ADME,,COC1=CN=C(C2=C1C(=CN2)C(=O)C(=O)N3CCN(CC3)C(=O)C4=CC=CC=C4)OC,COC1=CN=C(C2=C1C(=CN2)C(=O)C(=O)N3CCN(CC3)C(=O)C4=CC=CC=C4)OC,DBPMWRYLTBNCCE-UHFFFAOYSA-N,507806,OK,45,"A mixed bag. The 7-azaindole core is an elite scaffold—mimicking purines with better solubility. However, the alpha-ketoamide linker is a 'necessary evil' often seen in viral attachment/protease inhibitors. It introduces a reactive electrophilic center (reversible covalent?) which can lead to hydration, reduction, or racemization. While acceptable for life-threatening ID indications, it carries a 'Reactivity Tax'. Solubility might be limited by the planar stacking of the azaindole and benzoyl systems.",Medium,Alpha-ketoamide (Electrophile/Reductive liability),0.7,"Generally manageable safety, assuming ketoamide is stable.",0.35,PK variability due to metabolism of the dicarbonyl.,0.15,Commercial viability depends on dosing frequency.,0.036,
DPC-083,NNRTI,HIV-1 Reverse Transcriptase (Non-nucleoside),HIV infection,Phase 2,,2005,Program discontinued; PK/formulation constraints reported for related series (low solubility / absorption sensitivity),clinical_failure,Infectious Disease,pk_adme,pk_formulation_liability,Discontinued for formulation/PK liability,,C1CC1/C=C/[C@]2(C3=C(C=CC(=C3)Cl)NC(=O)N2)C(F)(F)F,C1CC1C=CC2(C3=C(C=CC(=C3)Cl)NC(=O)N2)C(F)(F)F,UXDWYQAXEGVSPS-GFUIURDCSA-N,5327770,OK,68,"This molecule is heavily taxed by 'Grease'. The combination of a trifluoromethyl group, a chlorobenzene, and a cyclopropyl moiety pushes cLogP into the danger zone (>5), triggering the 'Rule of Two' for DILI risk. Furthermore, the vinyl-cyclopropane motif is chemically anxious—prone to radical rearrangement or P450 suicide inhibition compared to its alkyne cousins. While the benzoxazinone core is stable, the lipophilicity suggests this is a 'crystallization in the liver' waiting to happen.",High,"Vinyl-cyclopropane (Radical clock/P450 inactivation), High Lipophilicity (DILI)",0.6,Dose-limiting toxicity likely due to lipophilicity/solubility.,0.25,High protein binding will limit free fraction.,0.1,Safety signals (liver enzyme elevation) likely in chronic dosing.,0.015,
Enalkiren,Direct renin inhibitor,Renin,Hypertension,Phase 2,,2000,Poor absorption and very low oral bioavailability (<2%); short half-life limited chronic oral development,clinical_failure,Cardiovascular,pk_adme,low_oral_bioavailability_short_half_life,Discontinued for PK/ADME,,CC(C)C[C@@H]([C@@H]([C@H](CC1CCCCC1)NC(=O)[C@H](CC2=CN=CN2)NC(=O)[C@H](CC3=CC=C(C=C3)OC)NC(=O)CC(C)(C)N)O)O,CC(C)CCH(CH(CH(CC1CCCCC1)NC(=O)CH(CC2=CN=CN2)NC(=O)CH(CC3=CC=C(C=C3)OC)NC(=O)CC(C)(C)N)O)O,KQXVERRYBYGQJZ-WRPDIKACSA-N,60594,OK,78,"This molecule is a classic 'Brick' (MW > 600, High TPSA). It exhibits the hallmarks of a peptidomimetic transition-state inhibitor (hydroxyethylene isostere). While likely potent against an aspartyl protease, the physicochemical properties are abysmal for an oral drug. The presence of an imidazole ring (histidine mimic) introduces a significant CYP inhibition liability (Type II binding) and potential for promiscuity. The high rotatable bond count ('The Balloon') ensures a massive entropic penalty upon binding and poor membrane permeability. Oral bioavailability is predicted to be < 5%. Tox Summary: Clean fragments, but PK failure is imminent.",Low,"Imidazole (CYP Inhibition), Primary Amine (conjugation)",0.4,"Safety likely acceptable due to low absorption, but PK variability will be high.",0.15,Efficacy will be limited by inability to achieve therapeutic exposure orally.,0.05,Commercial viability is near zero for a 'Brick' in the CV space.,0.03,
Remikiren,Direct renin inhibitor,Renin,Hypertension,Phase 2,,mid-to-late 1990s,Poor bioavailability / short half-life cited as key limitation for development,clinical_failure,Cardiovascular,pk_adme,poor_bioavailability_short_half_life,Discontinued for PK/ADME,,CC(C)(C)S(=O)(=O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CC3CCCCC3)[C@H]([C@H](C4CC4)O)O,CC(C)(C)S(=O)(=O)CCH(CC1=CC=CC=C1)C(=O)NCH(CC2=CN=CN2)C(=O)NCH(CC3CCCCC3)CH(CH(C4CC4)O)O,UXIGZRQVLGFTOU-VQXQMPIVSA-N,6324659,OK,76,"Another heavy peptidomimetic 'Brick'. The inclusion of a t-butyl sulfone moiety adds significant polarity and metabolic stability to the N-terminus compared to an amide, but it does not solve the fundamental MW and TPSA issues. The central imidazole remains a liability for CYP interaction. The cyclopropyl-diol tail is complex and adds to the synthetic burden. Like its sibling, this molecule fights a losing battle against Lipinski's rules. It is 'Grease' wrapped in peptide bonds. Tox Summary: Clean, but functionally useless as an oral agent.",Medium,"Imidazole (CYP Inhibition), Sulfone (generally safe but polar)",0.45,Sulfone may improve metabolic stability over amide analogs.,0.15,Permeability remains the primary failure mode.,0.05,No advantage over existing standard of care due to dosing complexity.,0.03,
Zankiren,Direct renin inhibitor,Renin,Hypertension,Phase 2,,2013,Poor bioavailability / very short half-life cited as key limitation for development,clinical_failure,Cardiovascular,pk_adme,poor_bioavailability_short_half_life,Discontinued for PK/ADME,,CC(C)C[C@@H]([C@@H]([C@H](CC1CCCCC1)NC(=O)[C@H](CC2=CSC=N2)NC(=O)[C@H](CC3=CC=CC=C3)CS(=O)(=O)N4CCN(CC4)C)O)O,CC(C)CCH(CH(CH(CC1CCCCC1)NC(=O)CH(CC2=CSC=N2)NC(=O)CH(CC3=CC=CC=C3)CS(=O)(=O)N4CCN(CC4)C)O)O,YFDSDRDMDDGDFC-HOQQKOLYSA-N,3086652,OK,82,"This structure attempts to fix the imidazole liability by swapping it for a thiazole (less basic, less CYP binding), but then commits a fatal error by appending a massive sulfonamide-piperazine tail. The resulting Molecular Weight is exorbitant. This is not a drug; it is a chemical probe. The complexity and 'Balloon' nature (rotatable bonds > 15) guarantee poor oral absorption and high clearance. The sulfonamide moiety also introduces a risk of hypersensitivity (SJS/TEN). Tox Summary: Not Clean (Sulfonamide alert).",Low,"Sulfonamide (Hypersensitivity), Piperazine (Bioactivation risk if N-dealkylated)",0.3,Complex metabolism and potential for idiosyncratic tox (sulfonamide).,0.1,PK will be erratic; likely IV only.,0.01,Unviable.,0.003,
